!IOTYPE  ikx stn_id
 t       181 91577
 t       181 91579
 t       181 91582
 t       181 91587
 t       181 91590
 t       181 91592
 t       181 91596
 t       181 91601
 t       181 91610
 t       181 91612
 t       181 91623
 t       181 91631
 t       181 91636
 t       181 91643
 t       181 91644
 t       181 91648
 t       181 91652
 t       181 91660
 t       181 91670
 t       181 91676
 t       181 91682
 t       181 91683
 t       181 91691
 t       181 91697
 t       181 91699
 t       181 91701
 t       181 91723
 t       181 91753
 t       181 91754
 t       181 91759
 t       181 91762
 t       181 91765
 t       181 91776
 t       181 91784
 t       181 91802
 t       181 91809
 t       181 91825
 t       181 91831
 t       181 91841
 t       181 91843
 t       181 91844
 t       181 91848
 t       181 91925
 t       181 91929
 t       181 91931
 t       181 91933
 t       181 91936
 t       181 91938
 t       181 91939
 t       181 91943
 t       181 91944
 t       181 91948
 t       181 91954
 t       181 91958
 t       181 92076
 t       181 92100
 t       181 93004
 t       181 93069
 t       181 93110
 t       181 93186
 t       181 93196
 t       181 93309
 t       181 93393
 t       181 93420
 t       181 93439
 t       181 93479
 t       181 93498
 t       181 93515
 t       181 93527
 t       181 93546
 t       181 93562
 t       181 93597
 t       181 93615
 t       181 93678
 t       181 93796
 t       181 93805
 t       181 93845
 t       181 93887
 t       181 93909
 t       181 93929
 t       181 93947
 t       181 93985
 t       181 93988
 t       181 93994
 t       181 94102
 t       181 94108
 t       181 94116
 t       181 94121
 t       181 94122
 t       181 94135
 t       181 94139
 t       181 94147
 t       181 94150
 t       181 94174
 t       181 94181
 t       181 94182
 t       181 94201
 t       181 94202
 t       181 94207
 t       181 94210
 t       181 94248
 t       181 94254
 t       181 94257
 t       181 94284
 t       181 94289
 t       181 94290
 t       181 94293
 t       181 94294
 t       181 94295
 t       181 94297
 t       181 94298
 t       181 94299
 t       181 94302
 t       181 94303
 t       181 94306
 t       181 94307
 t       181 94310
 t       181 94367
 t       181 94368
 t       181 94371
 t       181 94372
 t       181 94378
 t       181 94379
 t       181 94383
 t       181 94384
 t       181 94388
 t       181 94390
 t       181 94393
 t       181 94394
 t       181 94401
 t       181 94403
 t       181 94405
 t       181 94580
 t       181 94584
 t       181 94594
 t       181 94598
 t       181 94599
 t       181 94600
 t       181 94601
 t       181 94602
 t       181 94605
 t       181 94653
 t       181 94654
 t       181 94677
 t       181 94751
 t       181 94767
 t       181 94799
 t       181 94804
 t       181 94809
 t       181 94812
 t       181 94813
 t       181 94822
 t       181 94826
 t       181 94830
 t       181 94850
 t       181 94892
 t       181 94898
 t       181 94933
 t       181 94934
 t       181 94935
 t       181 94937
 t       181 94938
 t       181 94939
 t       181 94949
 t       181 94951
 t       181 94953
 t       181 94956
 t       181 94962
 t       181 94974
 t       181 94981
 t       181 94983
 t       181 94987
 t       181 94988
 t       181 94995
 t       181 94996
 t       181 94998
 t       181 95101
 t       181 95202
 t       181 95288
 t       181 95296
 t       181 95298
 t       181 95303
 t       181 95304
 t       181 95367
 t       181 95370
 t       181 95402
 t       181 95605
 t       181 95607
 t       181 95648
 t       181 95649
 t       181 95652
 t       181 95664
 t       181 95729
 t       181 95805
 t       181 95826
 t       181 95881
 t       181 95929
 t       181 95937
 t       181 95940
 t       181 95954
 t       181 95961
 t       181 95967
 t       181 95981
 t       181 95986
 t       181 95988
 t       181 96001
 t       181 96009
 t       181 96011
 t       181 96033
 t       181 96075
 t       181 96087
 t       181 96091
 t       181 96145
 t       181 96179
 t       181 96237
 t       181 96420
 t       181 96449
 t       181 96465
 t       181 96477
 t       181 96535
 t       181 96615
 t       181 96633
 t       181 96805
 t       181 96925
 t       181 96933
 t       181 96935
 t       181 96937
 t       181 96995
 t       181 96996
 t       181 96997
 t       181 97028
 t       181 97072
 t       181 97120
 t       181 97142
 t       181 97192
 t       181 97230
 t       181 97260
 t       181 97300
 t       181 97340
 t       181 97430
 t       181 97460
 t       181 97502
 t       181 97530
 t       181 97600
 t       181 97630
 t       181 97682
 t       181 97698
 t       181 97722
 t       181 97724
 t       181 97760
 t       181 97790
 t       181 97810
 t       181 97900
 t       181 97980
 t       181 98133
 t       181 98134
 t       181 98223
 t       181 98324
 t       181 98325
 t       181 98334
 t       181 98428
 t       181 98434
 t       181 98435
 t       181 98526
 t       181 98536
 t       181 98553
 t       181 98558
 t       181 98630
 t       181 98642
 t       181 98741
 t       181 98752
 t       181 98836
 t       181 99122
 t       181 99137
 t       181 99163
 t       181 99187
 t       181 AALAG
 t       181 AASKY
 t       181 AAUN1
 t       181 ADI
 t       181 ALE
 t       181 AZUL
 t       181 Antartid
 t       181 BENITO
 t       181 BHM
 t       181 Bella
 t       181 CCCP_DL
 t       181 COL
 t       181 CVBB
 t       181 CVVR
 t       181 CWAS
 t       181 CWBK
 t       181 CWEB
 t       181 CWEL
 t       181 CWEZ
 t       181 CWGB
 t       181 CWGT
 t       181 CWHL
 t       181 CWJN
 t       181 CWMI
 t       181 CWQK
 t       181 CWRN
 t       181 CWRO
 t       181 CWXS
 t       181 CWYQ
 t       181 CXLB
 t       181 CZPK
 t       181 CZUB
 t       181 CZVM
 t       181 Club
 t       181 DAP
 t       181 DIH
 t       181 E99
 t       181 EPT
 t       181 GAB
 t       181 GORGONA_
 t       181 Gyor
 t       181 HUT
 t       181 Haifa
 t       181 Isla
 t       181 KAC
 t       181 KHST
 t       181 KJR
 t       181 KKD
 t       181 KMCF
 t       181 KMTP
 t       181 KNB
 t       181 KNGP
 t       181 KNQX
 t       181 KNTD
 t       181 KNUI
 t       181 KOZ
 t       181 KPAM
 t       181 KPK
 t       181 Lahti
 t       181 Liceo
 t       181 MDV
 t       181 MMZH
 t       181 MNY
 t       181 MRM
 t       181 NAQ
 t       181 NVS
 t       181 NYR
 t       181 PANAMERI
 t       181 PND
 t       181 POR
 t       181 PTKK
 t       181 PUERTO_E
 t       181 Pecs
 t       181 Penc
 t       181 Pilar
 t       181 Pogany
 t       181 Pyhtaa
 t       181 RAF
 t       181 RJN
 t       181 RRRRRo
 t       181 Rauma
 t       181 Rincon
 t       181 SCZ
 t       181 SGL
 t       181 SRT
 t       181 VAA
 t       181 Villa
 t       181 Young
 t       181 Zefat
 t       187 AGGH
 t       187 BGBW
 t       187 BGGH
 t       187 BGJH
 t       187 BGJN
 t       187 BGKK
 t       187 BGSF
