MILW1   RAWS        8676  7967  39  10.6  -1.0   2.1  39   2.2  -0.9    1.7   12    2
AR581   APRSWXNET   8677  9147  39  26.9   0.9   0.9  39   1.6  -0.9    1.5   10  -36
SLFDP   AWS         8678 26269  39  22.9  -0.9   0.9  39   2.6  -0.9    1.7   16   -2
MMGRD   AWS         8679 26414  40  27.6  -0.1   1.3  40   3.1  -0.9    1.0   28    0
FLFRD   AWS         8680 26443  40  26.2  -1.2   0.9  40   4.2  -0.9    1.6   34   -9
BSO03   AWS         8681 26503  38  21.9  -5.9  11.7  38   3.4  -0.9    1.4   31  -68
DLND3   AWS         8682 26538  40  26.2  -0.5   0.7  40   5.0   0.9    1.7   35   -0
HLDHP   AWS         8683 26636  39  27.4  -0.2   0.9  39   3.5  -0.9    1.2   30  -23
KHEAH   AWS         8684 26871  40  18.1  -1.4   1.6  40   6.4   0.9    2.3   34   -4
LVEGS   UrbaNet     8685 26916  40  24.6  -0.4   1.1  40   2.0  -0.9    1.7    9  -21
LSVRB   UrbaNet     8686 27031  41  24.3  -0.4   1.2  41   2.1  -0.9    2.1   10  -41
RVDAL   UrbaNet     8687 27405  38  23.2   0.4   1.4  38   2.1  -0.9    1.9    7    0
MRTNG   AWS         8688 28474  40  21.7   0.5   1.1  40   1.9  -0.9    1.3   11   -2
RBFI4   IADOT       8689 28658  39  16.3   0.3   0.9  39   4.3  -0.9    1.7   35   -4
NE059   NEDOR       8690 29035  40  16.2   1.2   1.2  40   4.2  -0.9    1.3   30   21
C7966   APRSWXNET   8691 29983  39  10.7   1.6   1.4  39   4.3  -0.9    2.5   23   -1
C8358   APRSWXNET   8692 31188  39  24.3  -0.5   0.9  39   1.0  -0.9    1.3    1   -8
REDWD   AWS         8693 31684  40  13.2   0.0   1.3  40   0.8  -0.9    1.3    1   76
NWHLP   AWS         8694 32396  40  16.5   0.3   0.8  40   1.2  -0.9    1.2    3  -16
KFCT    MesoWest    8695 32509  39  16.3   3.7   1.9  39   1.7  -0.9    2.1    7  -13
VA006   VADOT       8696 10424  39  24.3   0.4   0.8  39   1.5  -0.9    1.8    1   66
